tickers,word_0,tfidf_0,word_1,tfidf_1,word_2,tfidf_2,word_3,tfidf_3,word_4,tfidf_4,word_5,tfidf_5,word_6,tfidf_6,word_7,tfidf_7,word_8,tfidf_8,word_9,tfidf_9,word_10,tfidf_10,word_11,tfidf_11,word_12,tfidf_12,word_13,tfidf_13,word_14,tfidf_14,word_15,tfidf_15,word_16,tfidf_16,word_17,tfidf_17,word_18,tfidf_18,word_19,tfidf_19,word_20,tfidf_20,word_21,tfidf_21,word_22,tfidf_22,word_23,tfidf_23,word_24,tfidf_24,word_25,tfidf_25,word_26,tfidf_26,word_27,tfidf_27,word_28,tfidf_28,word_29,tfidf_29
CFG,incmanagement,0.326,basel,0.269,cbna,0.257,frb,0.249,rbs,0.231,alll,0.223,mortgage,0.192,tier,0.191,var,0.189,noninterest,0.18,incnotes,0.172,cet1,0.161,riskweighted,0.151,nonperforming,0.15,residential,0.142,citizens,0.132,sbo,0.13,fhlb,0.128,chargeoffs,0.124,tdrs,0.122,cbpa,0.114,serviced,0.11,cfg,0.101,stress,0.101,standardized,0.089,noncore,0.079,msrs,0.079,lending,0.078,lcr,0.077,servicing,0.067
C,citi,0.846,citigroup,0.349,citis,0.145,citigroups,0.11,mortgage,0.088,tier,0.074,basel,0.065,gcb,0.064,citicorp,0.062,securitizations,0.06,mortgages,0.056,trusts,0.055,nonaccrual,0.055,citibank,0.054,lending,0.054,icg,0.054,card,0.053,citibranded,0.053,cards,0.052,riskweighted,0.051,conduits,0.048,nm,0.045,msrs,0.043,cva,0.042,dtas,0.042,vies,0.041,fx,0.041,securitization,0.04,residential,0.04,htm,0.037
ALL,allstate,0.723,0000899051,0.384,propertyliability,0.225,reinsurance,0.225,contractholder,0.171,reestimates,0.157,catastrophe,0.155,annuities,0.129,dac,0.127,annuity,0.105,aic,0.084,homeowners,0.08,auto,0.071,coverages,0.065,asbestos,0.062,alic,0.059,accident,0.055,esurance,0.055,underwriting,0.054,interestsensitive,0.05,dsi,0.05,recoverables,0.048,ceded,0.047,abs,0.045,catastrophes,0.042,ibnr,0.038,pif,0.037,mcca,0.035,spreads,0.035,mortgage,0.035
IVZ,aum,0.661,invesco,0.621,clos,0.279,cip,0.225,clo,0.071,client,0.053,seed,0.051,uits,0.049,csip,0.048,clients,0.046,inflows,0.041,uit,0.038,passive,0.038,incomeloss,0.033,powershares,0.032,bermuda,0.028,gainslosses,0.027,etf,0.027,flanagan,0.026,vies,0.025,invescos,0.024,policyholders,0.023,trusts,0.023,uitrelated,0.023,loren,0.023,proportional,0.023,subgroup,0.022,sterling,0.022,amvescap,0.021,unconsolidated,0.021
ETFC,etrade,0.873,fourfamily,0.166,brokerage,0.153,0001015780,0.141,ajaxo,0.129,mortgagebacked,0.096,interestearning,0.092,mortgage,0.091,tdrs,0.09,fhlb,0.086,nonperforming,0.079,cmos,0.071,darts,0.069,clearing,0.066,chargeoffs,0.061,debentures,0.06,tier,0.06,brokerdealer,0.059,lien,0.058,sweep,0.055,ots,0.049,interestbearing,0.048,heldtomaturity,0.047,nonagency,0.042,residential,0.041,lending,0.041,contentsetrade,0.039,ltvcltv,0.036,etbh,0.036,nonaccrual,0.036
MET,metlife,0.794,policyholder,0.322,reinsurance,0.183,mlic,0.172,0001099219,0.161,mortgage,0.139,annuity,0.119,dac,0.115,metropolitan,0.103,contentsmetlife,0.103,annuities,0.088,voba,0.084,fvo,0.062,asbestos,0.061,naic,0.054,incnotes,0.051,investmenttype,0.049,block,0.046,otti,0.045,brighthouse,0.044,residential,0.044,mortality,0.043,policyholders,0.043,casualty,0.041,universal,0.04,rmbs,0.039,agricultural,0.036,surplus,0.034,alico,0.033,afs,0.033
PFG,mortgage,0.53,accumulation,0.205,pfg,0.199,residential,0.199,annuities,0.194,aum,0.182,policyholders,0.151,problem,0.146,policyholder,0.142,bt,0.139,realizedunrealized,0.139,mortgagebacked,0.136,dpac,0.13,investmenttype,0.126,annuity,0.125,mortgages,0.12,universal,0.097,vies,0.095,naic,0.092,gmwb,0.089,consolidating,0.087,reinsurance,0.086,block,0.085,withdrawals,0.084,chile,0.084,actuarial,0.083,restructured,0.079,indemnifications,0.077,cmbs,0.076,contentsprincipal,0.073
CBOE,cboe,0.895,bats,0.236,c2,0.12,futures,0.112,clearing,0.104,equities,0.101,occ,0.088,cfe,0.086,opra,0.086,fx,0.071,vix,0.07,euroccp,0.068,contentscboe,0.063,bzx,0.061,indexes,0.061,ise,0.057,edgx,0.054,adv,0.05,ebitda,0.046,edga,0.041,spx,0.04,byx,0.04,cftc,0.037,etps,0.036,00134774,0.034,marketmaker,0.034,exchangetraded,0.034,multiplylisted,0.033,unrestricted,0.032,outcry,0.031
CTL,centurylink,0.713,qwest,0.32,00107784,0.309,embarq,0.242,centurytel,0.199,incs,0.159,0000018926,0.141,broadband,0.12,savvis,0.117,fcc,0.105,wireless,0.078,usf,0.075,voice,0.069,lecs,0.068,colocation,0.062,caf,0.061,fiber,0.06,postretirement,0.059,longdistance,0.059,intrastate,0.058,centurylinks,0.051,voip,0.047,00115577,0.047,video,0.047,plant,0.046,hosting,0.045,verizon,0.043,distance,0.043,carriers,0.042,ilecs,0.041
IPG,interpublic,0.712,clients,0.266,cmg,0.225,ian,0.187,organic,0.174,ipg,0.171,0000051644,0.163,motorsports,0.142,client,0.139,mccann,0.137,pip,0.123,16686,0.106,dooner,0.099,continuedamounts,0.098,contentsnotes,0.094,lowe,0.09,billable,0.08,contentsmanagement,0.078,roth,0.077,postretirement,0.067,krakowsky,0.064,fcb,0.063,ebita,0.062,nfo,0.062,mergenthaler,0.058,acxiom,0.058,reorganizationrelated,0.055,uncommitted,0.052,philippe,0.051,interpublics,0.049
NFLX,streaming,0.48,dvd,0.412,subscribers,0.392,netflix,0.265,dvds,0.259,library,0.239,subscriber,0.225,0001065280,0.178,titles,0.161,00049802,0.159,subscription,0.137,studios,0.1,33383878,0.083,memberships,0.072,membership,0.071,movies,0.056,gatos,0.051,blockbuster,0.051,fulfillment,0.051,00135727,0.046,postage,0.046,contentsnetflix,0.045,movie,0.044,personnelrelated,0.043,churn,0.043,s1a,0.042,tv,0.042,entertainment,0.041,dvdbymail,0.041,hastings,0.038
CHTR,cable,0.456,cco,0.39,holdco,0.322,cch,0.283,twc,0.274,video,0.245,programming,0.193,allen,0.13,cc,0.128,vulcan,0.125,broadband,0.116,fcc,0.104,franchises,0.1,highspeed,0.098,00027927,0.09,bresnan,0.084,franchise,0.084,liberty,0.083,0001091667,0.082,digeo,0.079,safari,0.079,carriage,0.077,statementsunauditeddollars,0.077,bright,0.073,residential,0.072,subsidiariesnotes,0.068,franchising,0.065,indentures,0.065,viii,0.061,comcast,0.059
FB,facebook,0.58,user,0.425,0001326801,0.283,maus,0.256,ads,0.248,marketers,0.205,developers,0.183,daus,0.17,zuckerberg,0.139,arpu,0.136,engagement,0.131,whatsapp,0.099,oculus,0.098,instagram,0.091,ad,0.078,duplicate,0.071,messenger,0.063,rsus,0.053,monetization,0.053,mobileonly,0.044,mau,0.043,computers,0.043,virtual,0.041,eps,0.041,ipo,0.039,undesirable,0.039,geography,0.037,dau,0.035,patent,0.03,monetize,0.03
TWTR,twitter,0.602,advertisers,0.402,user,0.303,mdau,0.207,tweets,0.201,promoted,0.194,engagement,0.175,ad,0.174,maus,0.166,tweet,0.137,spam,0.136,advertiser,0.096,ads,0.091,engagements,0.074,ipa,0.073,0001418091,0.067,instagram,0.066,timeline,0.063,personnelrelated,0.062,audience,0.06,mau,0.057,patent,0.057,harmed,0.055,rsus,0.055,patents,0.054,search,0.051,video,0.049,privatelyheld,0.047,pre2013,0.044,333191552,0.042
NWSA,fox,0.415,news,0.375,rea,0.337,foxtel,0.325,21st,0.304,century,0.289,0001564708,0.226,nam,0.186,harpercollins,0.142,valassis,0.14,australia,0.112,newspaper,0.104,sports,0.101,publishing,0.099,ebitda,0.091,australian,0.086,programming,0.076,circulation,0.076,newspapers,0.073,subscription,0.07,murdoch,0.067,dow,0.065,iproperty,0.063,cable,0.062,print,0.054,jones,0.054,amplify,0.053,paytv,0.046,betterworse,0.043,newsprint,0.043
FOXA,0001754301,0.645,fox,0.512,21cf,0.423,sports,0.139,programming,0.13,television,0.105,cable,0.087,broadcast,0.082,stations,0.078,disney,0.075,usgaapoperatingsegmentsmember,0.067,ebitda,0.06,usgaapcommonclassbmember,0.058,news,0.057,usgaapcommonclassamember,0.055,entertainment,0.053,murdoch,0.053,twentyfirst,0.052,20200331,0.049,20210331,0.048,credible,0.048,20190701,0.048,20191231,0.047,century,0.046,fcc,0.04,20201231,0.039,mvpds,0.037,20200701,0.037,heading,0.035,lot,0.033
AMD,amd,0.667,gf,0.355,fab,0.298,spansion,0.275,graphics,0.175,microprocessor,0.142,intel,0.13,microprocessors,0.114,wafer,0.112,manufacturing,0.104,memory,0.102,saxony,0.1,kg,0.094,ati,0.085,fasl,0.077,semicustom,0.076,dresden,0.068,micro,0.067,fujitsu,0.066,chipsets,0.065,apu,0.058,semiconductor,0.058,wsa,0.057,gpu,0.056,amtc,0.055,foundry,0.053,atic,0.052,atmp,0.052,wafers,0.051,processors,0.049
INTC,intel,0.864,microprocessors,0.154,0000050863,0.141,memory,0.14,imft,0.113,flash,0.09,chipsets,0.089,nonmarketable,0.085,dcg,0.084,mcafee,0.082,processor,0.079,manufacturing,0.079,microprocessor,0.078,00006217,0.075,micron,0.074,chipset,0.067,nand,0.064,pentium,0.063,q1,0.061,processors,0.059,q3,0.055,q2,0.054,amd,0.054,ccg,0.051,clearwire,0.049,ec,0.049,iotg,0.048,numonyx,0.047,corporationnotes,0.043,desktop,0.043
AAPL,apple,0.378,ipod,0.316,mac,0.314,iphone,0.262,macintosh,0.261,itunes,0.24,0000320193,0.219,stores,0.184,os,0.158,music,0.146,store,0.136,warranty,0.123,ipods,0.122,ipad,0.12,manufacturing,0.119,resellers,0.113,macbook,0.099,computers,0.098,imac,0.088,ios,0.085,nontrade,0.083,portable,0.076,japan,0.074,peripherals,0.071,accessories,0.065,americas,0.065,education,0.064,applebranded,0.062,patent,0.06,microprocessors,0.059
LRCX,lam,0.592,semiconductor,0.44,0000707549,0.396,etch,0.215,wafer,0.144,manufacturing,0.137,novellus,0.129,fremont,0.118,rd,0.089,shipments,0.083,warranty,0.083,equitybased,0.067,pagelam,0.067,20180625,0.067,livermore,0.065,20181223,0.064,sez,0.06,fabrication,0.058,clean,0.054,usgaapforeignexchangecontractmember,0.054,patents,0.053,vacated,0.052,inventories,0.052,plasma,0.051,japanese,0.05,singlewafer,0.049,20180923,0.049,bullen,0.048,klatencor,0.048,espp,0.047
MSFT,microsoft,0.559,windows,0.483,0000789019,0.315,xbox,0.267,server,0.251,oem,0.114,headcountrelated,0.109,msn,0.094,pc,0.089,linkedin,0.088,var,0.079,motorola,0.078,unearned,0.078,cloudbased,0.076,azure,0.074,oems,0.064,consoles,0.06,fixedincome,0.059,console,0.057,vouchers,0.057,percentagechange,0.056,sql,0.053,pcs,0.053,nokia,0.053,search,0.052,phone,0.051,subscriptions,0.05,intelligent,0.049,entertainment,0.049,surface,0.048
CTSH,cognizant,0.634,indian,0.383,0001058290,0.295,clients,0.27,rupee,0.193,ims,0.192,h1b,0.1,client,0.099,fixedprice,0.095,offshore,0.078,onsiteoffshore,0.078,outsourcing,0.075,professionals,0.074,fringe,0.073,splitoff,0.073,manufacturingretaillogistics,0.073,trizetto,0.07,l1,0.07,immigration,0.07,auctionrate,0.064,sezs,0.064,engagements,0.063,l1b,0.058,cognizants,0.057,incentivebased,0.057,souza,0.055,visas,0.055,itd,0.055,rupees,0.054,visa,0.053
ADS,card,0.524,miles,0.342,wfn,0.285,air,0.221,reward,0.219,ebitda,0.214,securitization,0.204,epsilon,0.202,comenity,0.202,alliance,0.193,00115749,0.178,loyaltyone,0.157,brandloyalty,0.133,label,0.095,wfc,0.094,trusts,0.087,chargeoffs,0.086,clients,0.085,collectors,0.075,loyalty,0.074,assetbacked,0.061,cardholders,0.061,33394623,0.06,wfnnb,0.06,securitized,0.055,canadian,0.055,33360418,0.054,mile,0.054,merchant,0.051,servicing,0.05
WU,consumertoconsumer,0.595,companynotes,0.343,spinoff,0.24,consumertobusiness,0.212,speedpay,0.199,subagents,0.191,wufsi,0.154,contentsthe,0.152,westernunioncom,0.11,crosscurrency,0.109,laundering,0.101,tgbp,0.098,aml,0.096,ips,0.092,border,0.08,nydfs,0.076,send,0.076,pago,0.076,paymap,0.075,southwest,0.075,pincus,0.07,antimoney,0.067,vigo,0.065,ersek,0.065,cil,0.064,fexco,0.064,gainslosses,0.061,mexico,0.06,crossborder,0.059,fa,0.059
ABT,abbott,0.932,abbotts,0.221,laboratories,0.181,pharmaceutical,0.097,tap,0.066,nutritional,0.059,abbvie,0.058,pharmaceuticals,0.057,vascular,0.054,diagnostic,0.042,jude,0.04,alere,0.034,diagnostics,0.03,lupron,0.027,nutritionals,0.027,mylan,0.027,inprocess,0.023,hospira,0.023,neuromodulation,0.021,takeda,0.021,pediatric,0.021,postemployment,0.02,amo,0.02,scientific,0.018,solvay,0.018,manufacturing,0.018,generics,0.018,humira,0.017,drug,0.017,xience,0.016
CVS,pharmacy,0.616,cvs,0.374,caremark,0.365,0000064803,0.263,pharmacies,0.197,pbm,0.164,drugs,0.157,drug,0.121,prescription,0.116,medicare,0.106,generic,0.103,stores,0.097,retailltc,0.096,store,0.096,00101011,0.093,prescriptions,0.092,dispensing,0.084,medicaid,0.078,aetna,0.077,mail,0.076,specialty,0.069,omnicare,0.061,cvspharmacy,0.056,ltc,0.055,pbms,0.05,clients,0.049,cms,0.044,drugstores,0.043,minuteclinic,0.036,payors,0.034
PFE,pfizer,0.573,0000078003,0.438,generic,0.165,fda,0.153,lipitor,0.148,wyeth,0.147,pharmaceutical,0.137,incomedeductions,0.129,pharmacia,0.107,patent,0.107,medicines,0.105,lyrica,0.104,patients,0.104,hospira,0.096,viagra,0.094,drug,0.094,companiesnotes,0.089,clinical,0.087,celebrex,0.082,eh,0.078,costreductionproductivity,0.073,costreduction,0.07,ih,0.069,biopharmaceutical,0.068,exclusivity,0.068,pfebiopharmasegmentmember,0.067,warnerlambert,0.066,rd,0.064,patents,0.059,drugs,0.058
JNJ,johnson,0.56,0000200406,0.399,janssen,0.289,patent,0.187,pharmaceutical,0.16,depuy,0.158,jnjpharmaceuticalmember,0.154,generic,0.143,jpi,0.139,cordis,0.127,pharmaceuticals,0.107,risperdal,0.101,remicade,0.092,jbi,0.091,patents,0.088,ethicon,0.082,synthes,0.08,jnjmedicaldevicesmember,0.077,hip,0.077,mylan,0.076,diagnostics,0.075,ortho,0.074,20190929,0.07,ago,0.068,awp,0.066,infringement,0.064,teva,0.061,usgaapnonusmember,0.059,biosimilar,0.058,asrtm,0.057
BIIB,tysabri,0.412,biogen,0.395,rituxan,0.372,idec,0.305,avonex,0.198,genentech,0.192,clinical,0.191,zevalin,0.161,0000875045,0.155,manufacturing,0.122,fda,0.117,collaboration,0.115,patients,0.105,copromotion,0.104,contentsbiogen,0.1,elan,0.097,tecfidera,0.096,commercialization,0.094,patent,0.09,anticd20,0.09,bioepis,0.089,drugs,0.07,patents,0.07,samsung,0.068,fumapharm,0.064,milestone,0.06,drug,0.058,trials,0.057,neurimmune,0.056,royalty,0.056
INCY,clinical,0.402,drug,0.392,jakafi,0.387,trials,0.202,collaborators,0.192,incyte,0.184,fda,0.177,commercialization,0.174,patients,0.17,ruxolitinib,0.159,candidates,0.137,novartis,0.132,lilly,0.117,preclinical,0.116,compounds,0.103,agenus,0.101,patent,0.1,iclusig,0.1,merus,0.1,baricitinib,0.096,milestone,0.094,commercialize,0.086,pfizer,0.077,collaboration,0.069,indications,0.067,licensees,0.065,myelofibrosis,0.063,calithera,0.063,maxia,0.063,candidate,0.062
HSIC,schein,0.67,henry,0.381,dental,0.305,0001000228,0.284,practitioners,0.195,animal,0.184,officebased,0.124,valueadded,0.08,consumable,0.077,redeemable,0.071,physician,0.07,covetrus,0.066,bahs,0.061,stockunits,0.059,pharmaceuticals,0.058,drug,0.057,infectioncontrol,0.057,paladino,0.055,physicians,0.055,ehr,0.055,dentists,0.053,eservices,0.051,veterinary,0.05,vitamins,0.049,fda,0.045,bergman,0.044,patterson,0.043,benco,0.042,surgical,0.042,hsichealthcaredistributionmember,0.041
WAT,waters,0.723,0001000697,0.401,ta,0.275,hplc,0.187,chromatography,0.142,lc,0.125,uplc,0.12,thermal,0.106,spectrometry,0.1,acquity,0.09,rheometry,0.079,chemistry,0.065,patent,0.065,pharmaceutical,0.064,columns,0.058,calorimetry,0.056,lcms,0.054,consumables,0.053,mass,0.053,warranty,0.051,agilent,0.051,hp,0.051,tai,0.05,manufacturing,0.049,consumable,0.047,micromass,0.045,20200627,0.044,analytical,0.043,milford,0.042,00114010,0.041
ALGN,invisalign,0.812,aligners,0.224,ormco,0.159,aligner,0.159,dental,0.138,orthoclear,0.135,scanner,0.134,orthodontists,0.127,intraoral,0.11,orthodontic,0.099,clincheck,0.098,itero,0.092,scanners,0.088,patients,0.076,rica,0.076,sdc,0.072,0001097149,0.07,patent,0.07,costa,0.067,manufacturing,0.067,gps,0.064,doctors,0.064,malocclusion,0.064,teeth,0.061,fda,0.06,patient,0.059,clinical,0.055,cadent,0.054,teen,0.053,prescott,0.049
EW,lifesciences,0.66,edwards,0.625,valve,0.241,heart,0.149,0001099800,0.139,transcatheter,0.095,sapien,0.075,valves,0.06,clinical,0.054,perfusion,0.052,medtronic,0.05,aortic,0.049,surgery,0.047,patients,0.046,vascular,0.045,cardiovascular,0.043,patent,0.043,mitral,0.043,tissue,0.042,cardiac,0.039,japan,0.039,lifestent,0.038,baxter,0.038,fda,0.037,surgical,0.037,therapy,0.036,corevalve,0.03,manufacturing,0.029,perimount,0.028,patents,0.028
